,Unnamed: 0,time,open,high,low,close,Volume,Volume MA,avg_high_low,avg_open_close,avg_open_close_high_low,bid_price_from_open,bid_price_from_avg_open_close,bid_price_from_avg_high_low,bid_price_from_avg_open_close_high_low,ask_price_from_open,ask_price_from_avg_open_close,ask_price_from_avg_high_low,ask_price_from_avg_open_close_high_low
0,0,2021-01-21T09:13:04Z,27276.17,27285.66,27276.17,27285.66,0.125906,0.5975388999999979,27280.92,27280.92,27280.92,27267.47,27272.22,27272.22,27272.22,27284.87,27289.62,27289.62,27289.62
1,1,2021-01-21T09:13:05Z,27282.3,27300.8,27282.3,27283.97,0.021077,0.5940819499999979,27291.55,27283.14,27287.34,27273.6,27274.44,27282.85,27278.64,27291.0,27291.84,27300.25,27296.04
2,2,2021-01-21T09:13:06Z,27304.13,27304.13,27304.13,27304.13,0.0005099999999999999,0.5908129999999979,27304.13,27304.13,27304.13,27295.43,27295.43,27295.43,27295.43,27312.83,27312.83,27312.83,27312.83
3,3,2021-01-21T09:13:07Z,27304.75,27304.76,27293.9,27293.9,0.176662,0.5549915499999979,27299.33,27299.32,27299.33,27296.05,27290.62,27290.63,27290.63,27313.45,27308.02,27308.03,27308.03
4,4,2021-01-21T09:13:08Z,27302.99,27304.36,27302.99,27304.35,0.013235,0.5543377999999979,27303.68,27303.67,27303.67,27294.29,27294.97,27294.98,27294.97,27311.69,27312.37,27312.38,27312.37
5,5,2021-01-21T09:13:09Z,27284.73,27302.94,27280.94,27280.94,0.061239,0.5564257999999979,27291.94,27282.84,27287.39,27276.03,27274.14,27283.24,27278.69,27293.43,27291.54,27300.64,27296.09
6,6,2021-01-21T09:13:10Z,27298.57,27298.57,27267.71,27267.71,0.116116,0.5606832999999979,27283.14,27283.14,27283.14,27289.87,27274.44,27274.44,27274.44,27307.27,27291.84,27291.84,27291.84
7,7,2021-01-21T09:13:11Z,27265.45,27265.45,27265.45,27265.45,0.10339,0.564758349999998,27265.45,27265.45,27265.45,27256.75,27256.75,27256.75,27256.75,27274.15,27274.15,27274.15,27274.15
8,8,2021-01-21T09:13:12Z,27266.16,27278.01,27247.37,27278.01,1.397406,0.6313352499999979,27262.69,27272.08,27267.39,27257.46,27263.38,27253.99,27258.69,27274.86,27280.78,27271.39,27276.09
9,9,2021-01-21T09:13:15Z,27251.02,27252.65,27235.54,27235.54,0.082953,0.6340891999999979,27244.1,27243.28,27243.69,27242.32,27234.58,27235.4,27234.99,27259.72,27251.98,27252.8,27252.39
10,10,2021-01-21T09:13:16Z,27251.49,27251.49,27245.85,27251.02,0.007652,0.5137098999999978,27248.67,27251.26,27249.96,27242.79,27242.56,27239.97,27241.26,27260.19,27259.96,27257.37,27258.66
11,11,2021-01-21T09:13:17Z,27245.84,27245.84,27244.74,27244.74,0.0045,0.4294842999999979,27245.29,27245.29,27245.29,27237.14,27236.59,27236.59,27236.59,27254.54,27253.99,27253.99,27253.99
12,12,2021-01-21T09:13:18Z,27244.04,27244.04,27242.34,27242.34,0.0045,0.3367419499999979,27243.19,27243.19,27243.19,27235.34,27234.49,27234.49,27234.49,27252.74,27251.89,27251.89,27251.89
13,13,2021-01-21T09:13:19Z,27247.21,27252.9,27247.21,27252.9,0.014978,0.228419049999998,27250.06,27250.06,27250.06,27238.51,27241.36,27241.36,27241.36,27255.91,27258.76,27258.76,27258.76
14,14,2021-01-21T09:13:20Z,27243.68,27263.45,27243.68,27245.08,0.026618,0.16247709999999796,27253.56,27244.38,27248.97,27234.98,27235.68,27244.86,27240.27,27252.38,27253.08,27262.26,27257.67
15,15,2021-01-21T09:13:21Z,27254.57,27254.57,27244.48,27244.48,0.00877,0.12638779999999794,27249.52,27249.52,27249.52,27245.87,27240.82,27240.82,27240.82,27263.27,27258.22,27258.22,27258.22
16,16,2021-01-21T09:13:22Z,27247.21,27262.08,27241.34,27241.34,0.014634,0.12056489999999798,27251.71,27244.28,27247.99,27238.51,27235.58,27243.01,27239.29,27255.91,27252.98,27260.41,27256.69
17,17,2021-01-21T09:13:23Z,27240.34,27249.62,27238.34,27249.36,0.023415,0.11710964999999796,27243.98,27244.85,27244.42,27231.64,27236.15,27235.28,27235.72,27249.04,27253.55,27252.68,27253.12
18,18,2021-01-21T09:13:24Z,27258.07,27267.98,27225.0,27250.47,0.400859,0.13333859999999798,27246.49,27254.27,27250.38,27249.37,27245.57,27237.79,27241.68,27266.77,27262.97,27255.19,27259.08
19,19,2021-01-21T09:13:25Z,27231.76,27231.76,27231.76,27231.76,0.003802,0.13041109999999795,27231.76,27231.76,27231.76,27223.06,27223.06,27223.06,27223.06,27240.46,27240.46,27240.46,27240.46
20,20,2021-01-21T09:13:26Z,27244.39,27244.39,27244.39,27244.39,0.000367,0.12413414999999794,27244.39,27244.39,27244.39,27235.69,27235.69,27235.69,27235.69,27253.09,27253.09,27253.09,27253.09
21,21,2021-01-21T09:13:27Z,27240.91,27240.91,27226.87,27226.87,0.051724,0.12566649999999796,27233.89,27233.89,27233.89,27232.21,27225.19,27225.19,27225.19,27249.61,27242.59,27242.59,27242.59
22,22,2021-01-21T09:13:28Z,27230.51,27238.99,27210.0,27210.0,0.025367,0.12690934999999798,27224.5,27220.25,27222.38,27221.81,27211.55,27215.8,27213.68,27239.21,27228.95,27233.2,27231.08
23,23,2021-01-21T09:13:29Z,27230.5,27233.24,27210.01,27233.24,0.303097,0.13323109999999802,27221.62,27231.87,27226.75,27221.8,27223.17,27212.92,27218.05,27239.2,27240.57,27230.32,27235.45
24,24,2021-01-21T09:13:30Z,27232.11,27232.11,27232.11,27232.11,0.006352,0.132886949999998,27232.11,27232.11,27232.11,27223.41,27223.41,27223.41,27223.41,27240.81,27240.81,27240.81,27240.81
25,25,2021-01-21T09:13:31Z,27231.75,27233.54,27231.75,27233.54,0.416219,0.15063594999999802,27232.64,27232.64,27232.65,27223.05,27223.94,27223.94,27223.95,27240.45,27241.34,27241.34,27241.35
26,26,2021-01-21T09:13:32Z,27236.17,27239.11,27232.53,27239.11,0.101918,0.14992604999999798,27235.82,27237.64,27236.73,27227.47,27228.94,27227.12,27228.03,27244.87,27246.34,27244.52,27245.43
27,27,2021-01-21T09:13:33Z,27239.11,27239.11,27237.62,27237.62,0.009138,0.14521344999999802,27238.36,27238.36,27238.36,27230.41,27229.66,27229.66,27229.66,27247.81,27247.06,27247.06,27247.06
28,28,2021-01-21T09:13:34Z,27236.31,27237.62,27236.31,27237.62,0.008765,0.07578139999999799,27236.96,27236.96,27236.96,27227.61,27228.26,27228.26,27228.26,27245.01,27245.66,27245.66,27245.66
29,29,2021-01-21T09:13:35Z,27233.3,27236.9,27233.3,27236.9,0.006562999999999999,0.071961899999998,27235.1,27235.1,27235.1,27224.6,27226.4,27226.4,27226.4,27242.0,27243.8,27243.8,27243.8
30,30,2021-01-21T09:13:36Z,27235.47,27235.47,27209.1,27227.45,0.04803,0.07398079999999799,27222.28,27231.46,27226.87,27226.77,27222.76,27213.58,27218.17,27244.17,27240.16,27230.98,27235.57
31,31,2021-01-21T09:13:37Z,27226.65,27226.65,27220.75,27220.75,0.0105,0.074280799999998,27223.7,27223.7,27223.7,27217.95,27215.0,27215.0,27215.0,27235.35,27232.4,27232.4,27232.4
32,32,2021-01-21T09:13:38Z,27217.44,27223.69,27209.75,27223.68,0.235765,0.08584404999999799,27216.72,27220.56,27218.64,27208.74,27211.86,27208.02,27209.94,27226.14,27229.26,27225.42,27227.34
33,33,2021-01-21T09:13:39Z,27227.99,27227.99,27227.99,27227.99,0.001232,0.08515674999999799,27227.99,27227.99,27227.99,27219.29,27219.29,27219.29,27219.29,27236.69,27236.69,27236.69,27236.69
34,34,2021-01-21T09:13:41Z,27223.38,27223.38,27223.34,27223.34,0.00358,0.08400484999999801,27223.36,27223.36,27223.36,27214.68,27214.66,27214.66,27214.66,27232.08,27232.06,27232.06,27232.06
35,35,2021-01-21T09:13:42Z,27223.34,27223.34,27209.09,27215.42,0.105841,0.08885839999999799,27216.22,27219.38,27217.8,27214.64,27210.68,27207.52,27209.1,27232.04,27228.08,27224.92,27226.5
36,36,2021-01-21T09:13:43Z,27213.59,27219.93,27173.38,27195.41,2.633037,0.21977854999999802,27196.66,27204.5,27200.58,27204.89,27195.8,27187.96,27191.88,27222.29,27213.2,27205.36,27209.28
37,37,2021-01-21T09:13:44Z,27194.06,27194.06,27176.32,27176.32,0.007188,0.21896719999999803,27185.19,27185.19,27185.19,27185.36,27176.49,27176.49,27176.49,27202.76,27193.89,27193.89,27193.89
38,38,2021-01-21T09:13:45Z,27198.76,27200.19,27195.92,27195.92,0.164606,0.20715454999999802,27198.06,27197.34,27197.7,27190.06,27188.64,27189.36,27189.0,27207.46,27206.04,27206.76,27206.4
39,39,2021-01-21T09:13:46Z,27200.19,27200.53,27200.19,27200.53,0.042831,0.209105999999998,27200.36,27200.36,27200.36,27191.49,27191.66,27191.66,27191.66,27208.89,27209.06,27209.06,27209.06
40,40,2021-01-21T09:13:47Z,27200.22,27200.22,27172.0,27173.44,0.552585,0.23671689999999795,27186.11,27186.83,27186.47,27191.52,27178.13,27177.41,27177.77,27208.92,27195.53,27194.81,27195.17
41,41,2021-01-21T09:13:48Z,27192.13,27192.13,27175.64,27175.64,0.050646,0.236662999999998,27183.88,27183.88,27183.88,27183.43,27175.18,27175.18,27175.18,27200.83,27192.58,27192.58,27192.58
42,42,2021-01-21T09:13:49Z,27189.24,27190.14,27168.08,27169.58,0.476983,0.2592437999999979,27179.11,27179.41,27179.26,27180.54,27170.71,27170.41,27170.56,27197.94,27188.11,27187.81,27187.96
43,43,2021-01-21T09:13:50Z,27169.58,27184.43,27167.45,27184.43,0.234561,0.2558169999999979,27175.94,27177.0,27176.47,27160.88,27168.3,27167.24,27167.77,27178.28,27185.7,27184.64,27185.17
44,44,2021-01-21T09:13:51Z,27192.44,27192.44,27184.42,27184.42,0.5000560000000001,0.2805021999999979,27188.43,27188.43,27188.43,27183.74,27179.73,27179.73,27179.73,27201.14,27197.13,27197.13,27197.13
45,45,2021-01-21T09:13:52Z,27186.79,27186.79,27158.87,27158.87,1.243791,0.3218807999999979,27172.83,27172.83,27172.83,27178.09,27164.13,27164.13,27164.13,27195.49,27181.53,27181.53,27181.53
46,46,2021-01-21T09:13:53Z,27176.68,27186.68,27176.68,27186.68,0.15585,0.3245773999999979,27181.68,27181.68,27181.68,27167.98,27172.98,27172.98,27172.98,27185.38,27190.38,27190.38,27190.38
47,47,2021-01-21T09:13:54Z,27185.23,27185.23,27185.23,27185.23,0.00281,0.3242609999999979,27185.23,27185.23,27185.23,27176.53,27176.53,27176.53,27176.53,27193.93,27193.93,27193.93,27193.93
48,48,2021-01-21T09:13:55Z,27167.67,27186.6,27159.25,27186.6,0.39592,0.3436187499999979,27172.92,27177.14,27175.03,27158.97,27168.44,27164.22,27166.33,27176.37,27185.84,27181.62,27183.73
49,49,2021-01-21T09:13:56Z,27186.6,27200.0,27185.48,27200.0,0.505657,0.3685734499999979,27192.74,27193.3,27193.02,27177.9,27184.6,27184.04,27184.32,27195.3,27202.0,27201.44,27201.72
50,50,2021-01-21T09:13:57Z,27200.0,27210.51,27200.0,27210.51,0.113425,0.3718431999999979,27205.25,27205.25,27205.25,27191.3,27196.55,27196.55,27196.55,27208.7,27213.95,27213.95,27213.95
51,51,2021-01-21T09:13:59Z,27200.07,27210.5,27200.05,27210.5,0.306422,0.38663929999999797,27205.28,27205.28,27205.28,27191.37,27196.58,27196.58,27196.58,27208.77,27213.98,27213.98,27213.98
52,52,2021-01-21T09:14:00Z,27211.95,27214.36,27211.95,27214.36,0.007220999999999998,0.375212099999998,27213.16,27213.16,27213.16,27203.25,27204.46,27204.46,27204.46,27220.65,27221.86,27221.86,27221.86
53,53,2021-01-21T09:14:01Z,27211.98,27219.45,27211.98,27219.45,0.023431,0.376322049999998,27215.72,27215.72,27215.72,27203.28,27207.02,27207.02,27207.02,27220.68,27224.42,27224.42,27224.42
54,54,2021-01-21T09:14:02Z,27219.45,27227.93,27219.45,27227.93,0.046113,0.378448699999998,27223.69,27223.69,27223.69,27210.75,27214.99,27214.99,27214.99,27228.15,27232.39,27232.39,27232.39
55,55,2021-01-21T09:14:03Z,27227.89,27244.46,27227.89,27237.28,0.968126,0.421562949999998,27236.18,27232.58,27234.38,27219.19,27223.88,27227.48,27225.68,27236.59,27241.28,27244.88,27243.08
56,56,2021-01-21T09:14:04Z,27232.32,27242.88,27229.26,27242.88,0.18293,0.299057599999998,27236.07,27237.6,27236.84,27223.62,27228.9,27227.37,27228.14,27241.02,27246.3,27244.77,27245.54
57,57,2021-01-21T09:14:05Z,27243.82,27243.82,27230.95,27230.95,0.014899,0.299443149999998,27237.38,27237.38,27237.38,27235.12,27228.68,27228.68,27228.68,27252.52,27246.08,27246.08,27246.08
58,58,2021-01-21T09:14:06Z,27230.25,27232.21,27219.38,27231.85,0.03979,0.29320234999999795,27225.8,27231.05,27228.42,27221.55,27222.35,27217.1,27219.72,27238.95,27239.75,27234.5,27237.12
59,59,2021-01-21T09:14:07Z,27219.38,27219.38,27200.0,27200.0,0.107162,0.296418899999998,27209.69,27209.69,27209.69,27210.68,27200.99,27200.99,27200.99,27228.08,27218.39,27218.39,27218.39
60,60,2021-01-21T09:14:08Z,27200.0,27211.14,27200.0,27200.26,0.109922,0.27428574999999805,27205.57,27200.13,27202.85,27191.3,27191.43,27196.87,27194.15,27208.7,27208.83,27214.27,27211.55
61,61,2021-01-21T09:14:09Z,27209.77,27209.77,27201.6,27208.65,0.050606,0.27428374999999805,27205.68,27209.21,27207.45,27201.07,27200.51,27196.98,27198.75,27218.47,27217.91,27214.38,27216.15
